RegID,CatID,Cat,Venue,Laps,Course,Grade,Rank,Lap1,Lap2,Lap3,LapAvg,Final,T0,SeriesRank,SeriesPoints
100433897,203,Junior Varsity Female,Merrell,2,Advanced,8,7,1911.35,1938.65,,1926.67,3853.35,38400.1,6,1793
100433898,802,Elementary 2nd-3rd Grade Female,Merrell,1,Beginner,2,5,1470.5,,,1473.92,1473.92,57900.82,4,917
100434612,401,Novice 9-12th Grade Female,Merrell,3,Beginner,12,6,1374.92,1516.88,1540.35,1478.14,4434.42,46799.28,19,1458
100434649,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,17,1777.15,1734.55,,1757.3,3514.61,37799.4,9,1700
100435057,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,38,1587.55,,,1594.83,1594.83,57600.63,41,521
100435102,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,20,1821.6,1860.3,,1843.44,3686.89,38129.11,45,578
100435576,703,Elementary 4th Grade Male,Merrell,2,Beginner,4,14,1330.08,1436.66,,1385.87,2771.74,54600.72,16,908
100435698,402,Novice 6-8th Grade Female,Merrell,3,Beginner,6,16,1280.03,1341.93,1339.93,1321.49,3964.48,47100.48,15,1092
100436042,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,13,1542.96,2262.86,,1904.65,3809.3,54900,9,982
100436156,703,Elementary 4th Grade Male,Merrell,2,Beginner,4,17,1374.35,1434.85,,1406.47,2812.95,54600.72,13,933
100438562,402,Novice 6-8th Grade Female,Merrell,3,Beginner,6,22,1381.8,1575.82,1656.05,1539,4617.01,47100.48,21,1014
100439748,203,Junior Varsity Female,Merrell,2,Advanced,10,17,2269.53,2443.56,,2357.94,4715.88,38400.1,17,1499
100443048,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,13,1030.14,1202.56,1226.63,1153.51,3460.55,43410.61,11,1375
100443534,203,Junior Varsity Female,Merrell,2,Advanced,10,14,2057.09,2201.24,,2130.96,4261.93,38400.1,7,1733
100443554,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,5,1025.85,1097.32,1095.61,1074.13,3222.39,43410.61,8,1392
100443688,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,4,1008.11,1091.76,1116.79,1072.82,3218.46,43410.61,2,1598
100454590,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,22,1563.37,1710.3,,1640.24,3280.49,53999.6,25,348
100454591,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,39,1585.58,,,1595.06,1595.06,57600.63,53,270
100454711,402,Novice 6-8th Grade Female,Merrell,3,Beginner,7,12,1225.21,1268.23,1261.97,1253.46,3760.4,47100.48,17,1082
100454718,503,Novice 6th Grade Male,Merrell,3,Beginner,6,16,1294.25,1334.18,1330.58,1321.19,3963.57,51015.44,15,1080
100454723,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,6,1148.09,1232.44,,1191.97,2383.95,53999.6,7,1070
100454727,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,3,9,1214.85,,,1217.21,1217.21,57600.63,12,812
100454761,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,3,11,1313.51,,,1316.17,1316.17,57600.63,14,783
100454811,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,36,1566.71,,,1575.68,1575.68,57600.63,59,133
100455050,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,41,1679.92,,,1685.23,1685.23,57600.63,31,693
100455056,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,51,1809.67,,,1816.11,1816.11,57600.63,38,643
100455927,803,Elementary PreK-1st Grade Male,Merrell,1,Beginner,0,13,2018.26,,,2022.05,2022.05,58200.72,10,825
100455938,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,28,1896.53,1932.21,,1916.49,3832.98,38129.11,24,1364
100456261,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,3,21,1443.81,,,1447.58,1447.58,57600.63,40,590
100456379,302,Novice 9th Grade Male,Merrell,3,Beginner,9,11,1174.72,3215.63,1270.04,1888.12,5664.37,43705.75,5,1464
100456665,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,26,1515.82,,,1521.4,1521.4,57600.63,24,734
100456826,301,Novice 10-12th Grade Male,Merrell,3,Beginner,12,18,1219.48,1286.47,1283.14,1264.98,3794.95,43410.61,16,1210
100456839,502,Novice 7th Grade Male,Merrell,3,Beginner,7,17,1167.28,1349.54,1336.65,1285.95,3857.87,50717.13,15,1098
100456840,302,Novice 9th Grade Male,Merrell,3,Beginner,9,4,1109.54,1174.5,1161.47,1149.69,3449.09,43705.75,2,1570
100457187,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,18,1411.59,,,1415.64,1415.64,57600.63,23,735
100458193,501,Novice 8th Grade Male,Merrell,3,Beginner,8,33,1465.18,1843.92,1804.76,1706.16,5118.49,50400,20,958
100458417,802,Elementary 2nd-3rd Grade Female,Merrell,1,Beginner,3,8,1556.52,,,1559.71,1559.71,57900.82,28,342
100458418,302,Novice 9th Grade Male,Merrell,3,Beginner,9,1,1015.76,1067.08,1031.01,1038.87,3116.61,43705.75,12,1589
100458421,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,19,1410.83,1558.65,,1487.56,2975.13,53999.6,24,350
100458526,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,22,1772.01,1824.79,,1801.5,3603,37799.4,21,1418
100460115,103,Advanced Middle School Male,Merrell,2,Advanced,8,13,1725.39,1858.71,,1793.43,3586.86,32850.84,12,1364
100460117,503,Novice 6th Grade Male,Merrell,3,Beginner,6,6,1070.77,1194.61,1173.89,1147.51,3442.55,51015.44,7,1238
100460203,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,3,3,1114.32,,,1115.94,1115.94,57600.63,4,929
100460208,803,Elementary PreK-1st Grade Male,Merrell,1,Beginner,1,9,1687.43,,,1692.41,1692.41,58200.72,5,907
100460307,501,Novice 8th Grade Male,Merrell,3,Beginner,8,11,1115.68,1200.56,1167.51,1162.19,3486.58,50400,22,924
100460335,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,-1,,,,,,54900,5,1085
100460395,703,Elementary 4th Grade Male,Merrell,2,Beginner,4,15,1331.88,1451.16,,1393.33,2786.67,54600.72,12,933
100460479,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,6,1241.22,1437.51,,1341.29,2682.59,54900,7,1039
100460572,803,Elementary PreK-1st Grade Male,Merrell,1,Beginner,1,3,1445.24,,,1447.22,1447.22,58200.72,3,949
100461158,802,Elementary 2nd-3rd Grade Female,Merrell,1,Beginner,2,6,1526.33,,,1531.06,1531.06,57900.82,6,886
100461165,502,Novice 7th Grade Male,Merrell,3,Beginner,7,18,1226.51,1359.33,1314.38,1301.2,3903.6,50717.13,19,1040
100461166,703,Elementary 4th Grade Male,Merrell,2,Beginner,4,16,1321.94,1463.12,,1393.81,2787.63,54600.72,15,920
100461169,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,3,12,1318.1,,,1321.77,1321.77,57600.63,19,763
100461203,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,8,1365.81,1446.68,,1409.12,2818.25,54900,7,930
100461204,802,Elementary 2nd-3rd Grade Female,Merrell,1,Beginner,2,13,1583.66,,,1588.28,1588.28,57900.82,11,796
100461240,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,-1,1102.49,,,1105.45,1105.45,43410.61,29,501
100461273,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,2,1645.19,1671.2,,1660.12,3320.24,38129.11,6,1712
100461279,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,9,1625.57,1632.8,,1631.78,3263.56,37799.4,10,1652
100461390,501,Novice 8th Grade Male,Merrell,3,Beginner,8,31,1481.74,1676.2,1832.16,1664.98,4994.95,50400,19,976
100461442,104,Advanced Middle School Female,Merrell,2,Advanced,8,10,2271.9,2456.49,,2365.7,4731.4,33051.03,20,1438
100462294,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,5,1274.07,1351.65,,1313.87,2627.75,54299.1,3,1105
100462367,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,3,17,1404.33,,,1406.73,1406.73,57600.63,8,873
100462383,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,18,1727.41,1837.23,,1784.83,3569.67,37799.4,19,1475
100462518,301,Novice 10-12th Grade Male,Merrell,3,Beginner,12,19,1166.39,1345.98,1278.66,1265.04,3795.14,43410.61,33,1189
100462692,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,1,37,1591.3,,,1594.43,1594.43,57600.63,60,132
100462720,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,4,1142.23,1234.36,,1190.51,2381.02,53999.6,2,1130
100462885,502,Novice 7th Grade Male,Merrell,3,Beginner,7,14,1220.3,1273.92,1283.4,1260.48,3781.46,50717.13,18,1048
100463253,804,Elementary PreK-1st Grade Female,Merrell,1,Beginner,1,5,2024.53,,,2029.26,2029.26,58500.85,3,911
100463352,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,28,1807.47,1939.71,,1876.03,3752.07,37799.4,42,795
100463610,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,11,1474.55,1512.39,,1495.45,2990.91,54299.1,8,1017
100463968,503,Novice 6th Grade Male,Merrell,3,Beginner,6,22,1536.12,1449.71,1604.67,1532.24,4596.74,51015.44,40,204
100464004,503,Novice 6th Grade Male,Merrell,3,Beginner,6,9,1139.23,1177.52,1257.82,1192.74,3578.22,51015.44,12,1174
100464397,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,2,29,1533.71,,,1540.33,1540.33,57600.63,32,685
100464427,203,Junior Varsity Female,Merrell,2,Advanced,10,16,2105.86,2286.55,,2198.41,4396.82,38400.1,16,1532
100464786,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,5,1140.4,1239.17,,1191.9,2383.81,53999.6,3,1110
100464787,501,Novice 8th Grade Male,Merrell,3,Beginner,8,20,1152.36,1302.36,1319.89,1259.79,3779.38,50400,15,1018
100465005,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,11,1306.86,1402.77,,1357.69,2715.39,53999.6,13,910
100465006,701,Elementary 5th Grade Male,Merrell,2,Beginner,5,15,1330.01,1471,,1403.34,2806.68,53999.6,18,714
100465007,801,Elementary 2nd-3rd Grade Male,Merrell,1,Beginner,3,13,1326.3,,,1331.15,1331.15,57600.63,15,777
