RegID,CatID,Cat,Venue,Laps,Course,Grade,Rank,Lap1,Lap2,Lap3,LapAvg,Final,T0
100407154,102,Varsity Female,Merrell,3,Advanced,10,6,1760.03,1824.23,1795.57,1794.47,5383.41,33128.92
100393720,102,Varsity Female,Merrell,3,Advanced,12,7,1754.79,1853.24,1860.94,1823.45,5470.35,33128.92
100394312,102,Varsity Female,Merrell,3,Advanced,10,8,1790.11,1825.4,1889.06,1835.59,5506.77,33128.92
100393678,102,Varsity Female,Merrell,3,Advanced,8,9,1739.29,1876.28,1903.4,1840.87,5522.61,33128.92
100519116,102,Varsity Female,Merrell,3,Advanced,12,10,1815.96,1867.99,1850.39,1846.2,5538.62,33128.92
100393716,102,Varsity Female,Merrell,3,Advanced,11,11,1762.34,1890.48,1889.41,1848.13,5544.39,33128.92
100393719,102,Varsity Female,Merrell,3,Advanced,11,12,1811.5,1843.05,1894.29,1850.43,5551.3,33128.92
100394944,102,Varsity Female,Merrell,3,Advanced,11,13,1804.75,1860.79,1953.19,1873.6,5620.8,33128.92
100433897,102,Varsity Female,Merrell,3,Advanced,9,14,1799.93,1938.13,1895.41,1878.79,5636.38,33128.92
100393718,102,Varsity Female,Merrell,3,Advanced,11,15,1819.92,1908.65,1948.1,1892.64,5677.92,33128.92
100394302,102,Varsity Female,Merrell,3,Advanced,10,16,1912.66,2001.49,2007.52,1974.83,5924.51,33128.92
100401473,102,Varsity Female,Merrell,3,Advanced,12,17,1844.62,2044.69,2036.46,1976.33,5928.99,33128.92
100486064,102,Varsity Female,Merrell,3,Advanced,12,18,1962.28,2001.59,2004.54,1990.81,5972.44,33128.92
100394314,102,Varsity Female,Merrell,3,Advanced,10,19,1924.99,2085.33,1998.1,2003.53,6010.6,33128.92
100394933,102,Varsity Female,Merrell,3,Advanced,11,20,2036.37,1997.46,2005.81,2014.07,6042.22,33128.92
100393682,102,Varsity Female,Merrell,3,Advanced,9,21,1951.64,2107.03,2153.49,2072.15,6216.46,33128.92
100394315,102,Varsity Female,Merrell,3,Advanced,10,22,1911.28,2146.85,2155.02,2072.3,6216.9,33128.92
100496398,102,Varsity Female,Merrell,3,Advanced,10,23,2095.48,2052.35,2108.49,2086.17,6258.53,33128.92
100394340,102,Varsity Female,Merrell,3,Advanced,12,24,2001.49,2164.74,2130.22,2099.8,6299.4,33128.92
100394344,102,Varsity Female,Merrell,3,Advanced,12,25,3516.41,3842.38,3535.38,3632.57,10897.71,33128.92
100575965,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,-1,1890.15,,,1895.59,1895.59,38253.83
100477612,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,-1,,,,,,38253.83
100488330,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,-1,1694.58,,,1698.31,1698.31,38253.83
100394467,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,-1,1739.14,,,1741.75,1741.75,38253.83
100534265,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,1,1660.16,1676.48,,1669.62,3339.25,38253.83
